open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1698796800000,11.358,11.360,11.339,11.355,40279.46,1698796859999,457105.46989,1414,16617.01,188591.86970,0
1698796860000,11.355,11.372,11.344,11.346,27542.02,1698796919999,312876.01629,1030,14703.80,167053.84681,0
1698796920000,11.346,11.365,11.336,11.356,37468.77,1698796979999,425417.80106,1171,17619.12,200040.10877,0
1698796980000,11.356,11.361,11.336,11.337,21813.17,1698797039999,247492.03397,667,6055.04,68710.68045,0
1698797040000,11.338,11.346,11.327,11.342,29904.45,1698797099999,338995.58846,856,20423.68,231541.40383,0
1698797100000,11.342,11.347,11.330,11.339,24888.14,1698797159999,282185.66761,715,11176.38,126734.42094,0
1698797160000,11.339,11.339,11.308,11.327,63128.36,1698797219999,714712.39499,1701,14813.81,167720.83708,0
1698797220000,11.328,11.352,11.327,11.343,42317.09,1698797279999,480114.53048,999,28546.13,323898.59620,0
1698797280000,11.344,11.348,11.325,11.336,18037.57,1698797339999,204436.85408,611,9627.54,109110.39378,0
1698797340000,11.336,11.341,11.318,11.318,10305.37,1698797399999,116752.57174,465,4488.95,50859.55344,0
1698797400000,11.319,11.319,11.292,11.296,40921.28,1698797459999,462661.77937,1479,10275.20,116230.45486,0
1698797460000,11.296,11.306,11.296,11.299,24272.89,1698797519999,274302.32445,796,14284.59,161431.63311,0
1698797520000,11.300,11.317,11.300,11.314,14126.38,1698797579999,159750.48432,521,8312.17,93995.30979,0
1698797580000,11.314,11.314,11.300,11.312,33008.85,1698797639999,373098.94871,714,11231.14,126955.58050,0
1698797640000,11.314,11.315,11.300,11.314,12548.97,1698797699999,141890.00291,434,6375.36,72081.62861,0
1698797700000,11.315,11.323,11.291,11.303,31571.85,1698797759999,357009.05110,960,10674.27,120714.83223,0
1698797760000,11.304,11.350,11.303,11.349,30907.39,1698797819999,350279.27411,1185,22131.65,250773.01065,0
1698797820000,11.349,11.357,11.342,11.357,23737.83,1698797879999,269424.19010,1113,9736.89,110518.58135,0
1698797880000,11.357,11.431,11.356,11.430,108268.16,1698797939999,1233626.07427,3658,75907.88,864868.57446,0
1698797940000,11.431,11.431,11.389,11.389,128620.75,1698797999999,1467720.40567,2265,43641.05,497855.46232,0
1698798000000,11.389,11.397,11.376,11.390,41857.65,1698798059999,476607.73336,1115,20398.18,232254.84863,0
1698798060000,11.391,11.405,11.376,11.376,37949.97,1698798119999,432426.37251,838,19021.60,216788.24371,0
1698798120000,11.376,11.376,11.338,11.340,46475.04,1698798179999,527633.05877,1896,12799,145256.54002,0
1698798180000,11.341,11.343,11.297,11.307,105018.39,1698798239999,1188258.42884,2989,35404.27,400455.62214,0
1698798240000,11.308,11.336,11.304,11.330,18152.20,1698798299999,205456.19060,744,13347.62,151093.78500,0
1698798300000,11.331,11.343,11.324,11.339,20553.54,1698798359999,232976.89136,816,12591.93,142730.24643,0
1698798360000,11.339,11.343,11.321,11.332,21755.50,1698798419999,246535.23132,651,11403.42,129231.08926,0
1698798420000,11.333,11.342,11.324,11.334,18345.60,1698798479999,207889.40590,630,5000.98,56670.43172,0
1698798480000,11.333,11.348,11.330,11.348,11068.61,1698798539999,125512.72381,446,7090.31,80398.25114,0
1698798540000,11.347,11.368,11.346,11.367,20390.29,1698798599999,231585.58116,1173,14169.71,160927.01256,0
1698798600000,11.367,11.372,11.359,11.361,27117.68,1698798659999,308229.81737,800,13558.55,154112.98915,0
1698798660000,11.362,11.400,11.362,11.399,38231.99,1698798719999,435331.37168,1650,27419.17,312205.10860,0
1698798720000,11.400,11.403,11.390,11.402,31933.82,1698798779999,363950.55744,915,11806.17,134557.82188,0
1698798780000,11.403,11.417,11.398,11.413,33341.66,1698798839999,380321.56912,1155,22321.40,254632.70979,0
1698798840000,11.413,11.421,11.402,11.421,34220.16,1698798899999,390590.11377,1060,18738.62,213913.07750,0
1698798900000,11.421,11.427,11.410,11.426,58150.27,1698798959999,664003.40759,1573,32540.65,371604.99533,0
1698798960000,11.426,11.469,11.426,11.457,177636.39,1698799019999,2033306.24318,3885,108107.15,1237492.45261,0
1698799020000,11.456,11.459,11.428,11.442,43049.78,1698799079999,492617.09788,1366,14472.32,165598.41317,0
1698799080000,11.441,11.469,11.437,11.458,51018.11,1698799139999,584326.99671,1106,41660.47,477155.88597,0
1698799140000,11.458,11.468,11.438,11.440,26521.50,1698799199999,303834.12681,973,9288.93,106430.97485,0
1698799200000,11.441,11.460,11.426,11.426,50985.32,1698799259999,583614.52739,1284,26514.07,303528.62440,0
1698799260000,11.427,11.427,11.393,11.404,70224.12,1698799319999,801086.89551,1905,18763.87,214010.72385,0
1698799320000,11.403,11.407,11.384,11.388,27444.68,1698799379999,312657.35829,1182,11040.57,125773.17490,0
1698799380000,11.389,11.394,11.355,11.362,71605.66,1698799439999,814528.56148,2026,22760.90,258902.11122,0
1698799440000,11.362,11.365,11.352,11.355,21948.14,1698799499999,249295.22166,774,8307.02,94364.58827,0
1698799500000,11.355,11.385,11.354,11.382,26037.67,1698799559999,296037.67597,807,17487.28,198811.09758,0
1698799560000,11.383,11.383,11.344,11.352,31153.33,1698799619999,353837.20760,1146,10031.05,113939.89711,0
1698799620000,11.351,11.370,11.349,11.368,13838.35,1698799679999,157218.85734,435,10381.15,117943.95803,0
1698799680000,11.368,11.373,11.357,11.368,24006.52,1698799739999,272878.71473,574,6786.03,77132.00234,0
1698799740000,11.369,11.374,11.354,11.361,10395.98,1698799799999,118106.11778,478,6550.75,74420.71009,0
1698799800000,11.361,11.383,11.361,11.378,19254.73,1698799859999,218951.49061,578,12513.70,142296.23901,0
1698799860000,11.377,11.384,11.368,11.371,10906.87,1698799919999,124097.60819,458,4582.91,52145.74438,0
1698799920000,11.371,11.380,11.358,11.358,18532.32,1698799979999,210667.49001,525,5291.20,60165.65519,0
